datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,전일_출력제한량,출력제한_변화율,전일_태양광,전일_풍력,출력비율,예측출력제한량
2022-02-23 15:00:00,3.45,0.0,5.0,60.25,0.575,0.77,136.33,201.75,762808.0,6.6,1,-0.5250000000000004,-135.56,15.0,7802.0,175.33333333337214,0,16.8,-0.6071428535289116,150.67,188.78,0.0195220066198763,8.917024
2022-02-27 12:00:00,9.95,0.0,3.6,36.5,1.0,2.795,254.04,5.69,465414.0,11.8,1,0.3999999999999999,-251.245,12.0,-40629.0,41981.666666666686,1,0.0,118000000.0,239.52,28.25,0.045431794538393,10.563101
2022-02-27 13:00:00,10.5,0.0,4.025,35.75,1.0,3.025,253.07,4.12,442199.0,41.2,1,0.4250000000000002,-250.045,13.0,-23215.0,29019.66666666669,1,11.8,2.4915254026141915,254.04,5.69,0.1601928534701221,37.961304
2022-02-27 14:00:00,10.95,0.0,4.125,39.0,1.0,2.965,233.12,8.83,439656.0,41.2,1,0.0999999999999996,-230.155,14.0,-2543.0,9433.666666666686,1,41.2,0.0,253.07,4.12,0.1702831162759731,39.765556
2022-02-27 15:00:00,11.075,0.0,3.9,35.25,1.0,2.64,191.1,36.89,453495.0,37.7,1,-0.2250000000000001,-188.46,15.0,13839.0,-8378.333333333314,1,41.2,-0.0849514561044867,233.12,8.83,0.1653581296700039,36.64231
2022-02-27 16:00:00,11.05,0.0,4.075,37.25,1.0,2.085,127.17,46.22,496434.0,4.9,1,0.1750000000000002,-125.085,16.0,42939.0,-33239.0,1,37.7,-0.8700265228911763,191.1,36.89,0.028259991909418,3.045382
2022-03-02 13:00:00,9.15,0.0,6.575,49.5,0.85,2.26,239.33,128.74,578337.0,22.6,1,0.4750000000000005,-237.07,13.0,-47442.0,49100.0,1,0.0,226000000.00000003,235.73,148.26,0.0614013638543208,23.116077
2022-03-02 14:00:00,9.35,0.0,5.9,49.0,0.825,2.26,229.63,148.73,578126.0,36.1,1,-0.6749999999999998,-227.37,14.0,-211.0,15954.666666666628,1,22.6,0.5973451301002427,239.33,128.74,0.095411777118244,32.794315
2022-03-02 15:00:00,9.25,0.0,6.65,47.75,0.85,2.125,191.82,167.93,580676.0,36.1,1,0.75,-189.695,15.0,2550.0,-1629.666666666628,1,36.1,0.0,229.63,148.73,0.1003474634884371,34.58601
2022-03-02 16:00:00,9.0,0.0,6.8,45.75,0.975,2.055,130.37,182.79,607420.0,14.0,1,0.1499999999999994,-128.315,16.0,26744.0,-18679.33333333337,1,36.1,-0.6121883639551569,191.82,167.93,0.044705581796939,15.111973
2022-03-04 13:00:00,15.225,0.0,5.775,56.25,0.875,2.6,220.62,117.05,547280.0,0.6,1,0.625,-218.02,13.0,-148397.0,133046.33333333337,1,0.0,6000000.0,185.12,139.28,0.0017768827548266,4.069535
2022-03-04 14:00:00,15.45,0.0,5.325,54.0,0.975,2.69,203.46,94.84,517465.0,2.3,1,-0.4500000000000002,-200.77,14.0,-29815.0,69342.33333333337,1,0.6,2.83333286111119,220.62,117.05,0.0077103586967112,6.6845727
2022-03-05 11:00:00,11.2,0.0,4.95,49.5,1.0,2.12,222.63,89.97,521842.0,26.9,1,0.8500000000000005,-220.51,11.0,-47615.0,57272.66666666663,1,0.0,269000000.0,185.92,147.12,0.0860524631842442,25.76611
2022-03-05 12:00:00,11.125,0.0,6.025,49.0,1.0,2.56,237.97,49.02,485613.0,101.9,1,1.0750000000000002,-235.41,12.0,-36229.0,40024.33333333337,1,26.9,2.788104078854632,222.63,89.97,0.3550646362747605,100.93021
2022-03-05 13:00:00,10.975,0.0,6.3,44.75,1.0,2.73,240.07,33.09,460753.0,147.9,1,0.2749999999999994,-237.34,13.0,-24860.0,28649.66666666669,1,101.9,0.4514229632468862,237.97,49.02,0.5414409135519692,137.98878
2022-03-05 14:00:00,10.7,0.0,6.675,41.0,1.0,2.75,228.16,51.72,460036.0,166.5,1,0.375,-225.41,14.0,-717.0,8764.666666666686,1,147.9,0.1257606490021902,240.07,33.09,0.5948978131360233,151.65623
2022-03-05 15:00:00,10.05,0.0,7.1,38.75,1.0,2.535,191.06,108.11,469434.0,132.4,1,0.4249999999999998,-188.525,15.0,9398.0,-6026.333333333314,1,166.5,-0.2048048046817989,228.16,51.72,0.4425577429412849,123.24174
2022-03-05 16:00:00,9.3,0.0,6.5,42.0,1.0,2.04,127.95,180.37,504312.0,67.8,1,-0.5999999999999996,-125.91,16.0,34878.0,-26384.66666666669,1,132.4,-0.4879154074864688,191.06,108.11,0.2199014010703485,60.31869
2022-03-05 17:00:00,8.575,0.0,6.45,45.5,1.0,1.375,55.55,205.72,575156.0,6.6,1,-0.0499999999999998,-54.175,17.0,70844.0,-58855.333333333314,1,67.8,-0.902654865925288,127.95,180.37,0.0252612240114589,6.9936404
2022-03-09 13:00:00,14.75,0.0,3.475,62.25,1.0,2.915,234.54,15.56,440655.0,8.8,1,0.2250000000000001,-231.625,13.0,-24410.0,29831.66666666669,1,0.0,88000000.00000001,235.99,22.3,0.0351859256156793,7.6832066
2022-03-09 14:00:00,14.825,0.0,3.2,61.5,1.0,2.865,214.34,19.45,440921.0,12.7,1,-0.2749999999999999,-211.475,14.0,266.0,7959.333333333314,1,8.8,0.4431818131456611,234.54,15.56,0.054322254991949,11.020824
2022-03-10 13:00:00,16.575,0.0,3.75,59.75,1.0,2.945,233.0,52.19,488849.0,7.8,1,0.0499999999999998,-230.055,13.0,-33402.0,35760.0,1,0.0,78000000.0,235.84,64.03,0.0273501875846452,9.030328
