datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),태양광발전량(MWh),풍력발전량(MWh),전력수요(MWh),출력제한량,출력제한여부,풍속_증감량,일사_예측오차대응,시간대,전력수요_증감,전력수요_기준편차,발생예측,예측출력제한량
2022-03-02 13:00:00,9.15,0.0,6.575,49.5,0.85,2.26,239.33,128.74,578337.0,22.6,1,0.4750000000000005,-237.07,13.0,-47442.0,49100.0,1,88.2807
2022-03-02 14:00:00,9.35,0.0,5.9,49.0,0.825,2.26,229.63,148.73,578126.0,36.1,1,-0.6749999999999998,-227.37,14.0,-211.0,15954.666666666628,1,72.22251
2022-03-02 15:00:00,9.25,0.0,6.65,47.75,0.85,2.125,191.82,167.93,580676.0,36.1,1,0.75,-189.695,15.0,2550.0,-1629.666666666628,1,79.556816
2022-03-02 16:00:00,9.0,0.0,6.8,45.75,0.975,2.055,130.37,182.79,607420.0,14.0,1,0.1499999999999994,-128.315,16.0,26744.0,-18679.33333333337,1,76.66301
2022-03-02 17:00:00,8.45,0.0,6.725,49.5,1.0,1.39,52.45,171.91,666856.0,0.0,0,-0.0750000000000001,-51.06,17.0,59436.0,-48538.66666666663,1,65.669914
2022-03-04 12:00:00,13.9,0.0,5.15,59.75,0.25,1.445,185.12,139.28,695677.0,0.0,0,1.5750000000000002,-183.675,12.0,-102345.0,79409.66666666663,1,40.21162
2022-03-04 13:00:00,15.225,0.0,5.775,56.25,0.875,2.6,220.62,117.05,547280.0,0.6,1,0.625,-218.02,13.0,-148397.0,133046.33333333337,1,71.4434
2022-03-04 14:00:00,15.45,0.0,5.325,54.0,0.975,2.69,203.46,94.84,517465.0,2.3,1,-0.4500000000000002,-200.77,14.0,-29815.0,69342.33333333337,1,67.41422
2022-03-04 15:00:00,15.45,0.0,5.0,54.5,1.0,2.43,164.72,84.14,527650.0,0.0,0,-0.3250000000000002,-162.29,15.0,10185.0,3148.333333333372,1,58.596462
2022-03-04 16:00:00,15.0,0.0,4.825,57.75,1.0,1.91,99.56,72.52,558681.0,0.0,0,-0.1749999999999998,-97.65,16.0,31031.0,-24082.33333333337,1,47.701786
2022-03-05 10:00:00,10.4,0.0,4.1,59.0,1.0,1.45,185.92,147.12,569457.0,0.0,0,-0.2750000000000003,-184.47,10.0,-76588.0,79599.33333333337,1,28.492203
2022-03-05 11:00:00,11.2,0.0,4.95,49.5,1.0,2.12,222.63,89.97,521842.0,26.9,1,0.8500000000000005,-220.51,11.0,-47615.0,57272.66666666663,1,64.30901
2022-03-05 12:00:00,11.125,0.0,6.025,49.0,1.0,2.56,237.97,49.02,485613.0,101.9,1,1.0750000000000002,-235.41,12.0,-36229.0,40024.33333333337,1,91.450264
2022-03-05 13:00:00,10.975,0.0,6.3,44.75,1.0,2.73,240.07,33.09,460753.0,147.9,1,0.2749999999999994,-237.34,13.0,-24860.0,28649.66666666669,1,99.86166
2022-03-05 14:00:00,10.7,0.0,6.675,41.0,1.0,2.75,228.16,51.72,460036.0,166.5,1,0.375,-225.41,14.0,-717.0,8764.666666666686,1,105.22448
2022-03-05 15:00:00,10.05,0.0,7.1,38.75,1.0,2.535,191.06,108.11,469434.0,132.4,1,0.4249999999999998,-188.525,15.0,9398.0,-6026.333333333314,1,104.379326
2022-03-05 16:00:00,9.3,0.0,6.5,42.0,1.0,2.04,127.95,180.37,504312.0,67.8,1,-0.5999999999999996,-125.91,16.0,34878.0,-26384.66666666669,1,73.95699
2022-03-05 17:00:00,8.575,0.0,6.45,45.5,1.0,1.375,55.55,205.72,575156.0,6.6,1,-0.0499999999999998,-54.175,17.0,70844.0,-58855.333333333314,1,57.60097
2022-03-06 10:00:00,6.825,0.0,4.675,50.5,0.975,1.695,212.67,24.13,538193.0,0.0,0,-0.1749999999999998,-210.975,10.0,-97059.0,110116.66666666664,1,65.3821
2022-03-06 11:00:00,7.25,0.0,5.075,47.5,1.0,2.385,246.28,21.47,487257.0,0.0,0,0.4000000000000003,-243.895,11.0,-50936.0,66310.33333333337,1,78.024574
2022-03-06 12:00:00,7.5,0.0,5.075,48.5,1.0,2.825,249.34,17.19,448670.0,0.0,0,0.0,-246.515,12.0,-38587.0,42703.333333333314,1,78.347885
2022-03-06 13:00:00,8.05,0.0,5.375,46.0,1.0,3.03,244.15,16.59,434171.0,0.0,0,0.2999999999999998,-241.12,13.0,-14499.0,22528.33333333332,1,85.07685
2022-03-06 14:00:00,8.75,0.0,5.075,43.25,1.0,2.97,227.45,20.9,440084.0,0.0,0,-0.2999999999999998,-224.48,14.0,5913.0,891.0,1,79.16542
2022-03-06 15:00:00,8.55,0.0,4.55,42.0,1.0,2.645,192.75,78.48,452114.0,0.0,0,-0.5250000000000004,-190.105,15.0,12030.0,-9991.0,1,61.964317
2022-03-06 16:00:00,8.175,0.0,4.425,44.25,1.0,2.105,123.82,124.1,490584.0,0.0,0,-0.125,-121.715,16.0,38470.0,-29656.66666666669,1,44.178726
2022-03-06 17:00:00,7.825,0.0,5.425,46.5,1.0,1.305,40.71,131.52,573827.0,0.0,0,1.0,-39.405,17.0,83243.0,-68318.66666666669,1,49.76234
2022-03-09 12:00:00,14.2,0.0,3.25,64.25,1.0,2.675,235.99,22.3,465065.0,0.0,0,0.4249999999999998,-233.315,12.0,-40675.0,41409.666666666686,1,32.72006
2022-03-09 13:00:00,14.75,0.0,3.475,62.25,1.0,2.915,234.54,15.56,440655.0,8.8,1,0.2250000000000001,-231.625,13.0,-24410.0,29831.66666666669,1,38.434673
2022-03-09 14:00:00,14.825,0.0,3.2,61.5,1.0,2.865,214.34,19.45,440921.0,12.7,1,-0.2749999999999999,-211.475,14.0,266.0,7959.333333333314,1,31.963726
2022-03-09 15:00:00,14.925,0.0,2.7,60.25,1.0,2.58,170.88,8.23,457329.0,0.0,0,-0.5,-168.29999999999998,15.0,16408.0,-11027.333333333314,1,21.447681
2022-03-10 11:00:00,15.65,0.0,3.65,55.0,1.0,2.385,224.3,54.76,562727.0,0.0,0,0.6749999999999998,-221.915,11.0,-42541.0,51688.66666666663,1,41.28991
2022-03-10 12:00:00,16.375,0.0,3.7,52.5,1.0,2.785,235.84,64.03,522251.0,0.0,0,0.0500000000000002,-233.055,12.0,-40476.0,41164.33333333337,1,43.996662
2022-03-10 13:00:00,16.575,0.0,3.75,59.75,1.0,2.945,233.0,52.19,488849.0,7.8,1,0.0499999999999998,-230.055,13.0,-33402.0,35760.0,1,41.720905
2022-03-10 14:00:00,16.725,0.0,3.75,58.25,1.0,2.82,215.49,52.72,499353.0,15.9,1,0.0,-212.67,14.0,10504.0,4131.333333333314,1,41.06747
2022-03-10 15:00:00,16.625,0.0,3.85,60.25,1.0,2.57,172.79,49.2,514082.0,0.4,1,0.1,-170.22,15.0,14729.0,-13320.666666666686,1,38.49584
2022-03-12 11:00:00,19.8,0.0,4.55,66.75,1.0,2.305,217.04,38.15,477478.0,5.5,1,1.2249999999999996,-214.735,11.0,-34800.0,39985.0,1,51.31289
2022-03-12 12:00:00,20.2,0.0,4.775,66.25,1.0,2.715,228.97,8.48,446506.0,66.2,1,0.2250000000000005,-226.255,12.0,-30972.0,32248.0,1,59.514355
